,jpgs,cells,location,site,plot,year
152,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-52-202206.jpg,200525351,M,48,52,202206
153,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-52-202210.jpg,192334696,M,48,52,202210
154,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M48-52-202305.jpg,210411777,M,48,52,202305
155,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-77-2021.jpg,558227564,M,73,77,2021
156,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-77-202206.jpg,207060494,M,73,77,202206
157,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-77-202210.jpg,227002117,M,73,77,202210
158,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-77-202305.jpg,210624834,M,73,77,202305
159,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-78-2021.jpg,198378225,M,73,78,2021
160,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-78-202206.jpg,178247060,M,73,78,202206
161,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-78-202210.jpg,191666801,M,73,78,202210
162,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-78-202305.jpg,188883032,M,73,78,202305
163,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-79-2021.jpg,438883867,M,73,79,2021
164,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-79-202206.jpg,156521797,M,73,79,202206
165,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-79-202210.jpg,187894996,M,73,79,202210
166,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-79-202305.jpg,182500286,M,73,79,202305
167,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-80-202206.jpg,203051967,M,73,80,202206
168,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M73-80-202305.jpg,178256832,M,73,80,202305
169,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-93-2021.jpg,198045008,M,74,93,2021
170,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-93-202206.jpg,149481483,M,74,93,202206
171,C:/Users/nirivas/Florida International University/Coral Reef Fisheries - CoralProcessing (1)/Macroalgae/Alljpgs/M74-93-202210.jpg,170489073,M,74,93,202210
