stage,fate,area1,area2,class,action,location
juvenile,juvenile,10.23,8.84,porites astreoides,shrink,m
juvenile,juvenile,5.99,5.58,porites astreoides,shrink,m
NA,juvenile,0,3.92,porites astreoides,born,m
NA,juvenile,0,1.42,porites astreoides,born,m
NA,juvenile,0,2.93,porites astreoides,born,m
NA,juvenile,0,2.53,porites astreoides,born,m
juvenile,dead,4.35,0,porites astreoides,dead,m
juvenile,dead,1.4,0,porites astreoides,dead,m
juvenile,dead,4.76,0,porites astreoides,dead,m
juvenile,dead,2.45,0,porites astreoides,dead,m
juvenile,dead,36.31,0,porites astreoides,dead,m
intermediate,dead,97.86,0,porites astreoides,dead,m
juvenile,dead,5.53,0,porites astreoides,dead,m
intermediate,dead,60.42,0,porites astreoides,dead,m
juvenile,dead,2.02,0,porites astreoides,dead,m
juvenile,dead,5.93,0,porites astreoides,dead,m
juvenile,dead,2.08,0,porites astreoides,dead,m
juvenile,dead,2.48,0,porites astreoides,dead,m
juvenile,dead,2.03,0,porites astreoides,dead,m
juvenile,dead,2.01,0,porites astreoides,dead,m
juvenile,dead,10.07,0,porites astreoides,dead,m
juvenile,dead,2.02,0,porites astreoides,dead,m
juvenile,juvenile,1.42,2.99,porites astreoides,grow,m
juvenile,juvenile,21.81,27.98,porites astreoides,grow,m
juvenile,intermediate,46.4,64.91,porites astreoides,grow,m
intermediate,intermediate,55.2,64.13,porites astreoides,grow,m
juvenile,intermediate,43.54,53.41,porites astreoides,grow,m
intermediate,intermediate,56.08,66.8,porites astreoides,grow,m
juvenile,juvenile,29.33,42.58,porites astreoides,grow,m
juvenile,juvenile,30.21,34.32,porites astreoides,grow,m
juvenile,juvenile,2.66,7.07,porites astreoides,grow,m
intermediate,intermediate,52.88,58.37,porites astreoides,grow,m
juvenile,juvenile,12.08,15.78,porites astreoides,grow,m
juvenile,juvenile,36.14,44.47,porites astreoides,grow,m
juvenile,juvenile,1.88,3.31,porites astreoides,grow,m
juvenile,juvenile,1.94,5.58,porites astreoides,grow,m
juvenile,juvenile,9.18,12.33,porites astreoides,grow,m
juvenile,juvenile,7.05,10.55,porites astreoides,grow,m
juvenile,intermediate,49.97,54.2,porites astreoides,grow,m
juvenile,juvenile,6.55,6.88,porites astreoides,grow,m
adult,adult,158.89,176.73,porites astreoides,grow,m
juvenile,juvenile,6.11,10.78,porites astreoides,grow,m
intermediate,intermediate,60.84,73.25,porites astreoides,grow,m
intermediate,adult,75.62,104,porites astreoides,grow,m
juvenile,juvenile,23.51,24.73,porites astreoides,grow,m
adult,adult,147.26,244.43,porites astreoides,grow,m
juvenile,juvenile,18.38,29.78,porites astreoides,grow,m
juvenile,juvenile,7.76,10.67,porites astreoides,grow,m
juvenile,juvenile,6.14,8.57,porites astreoides,grow,m
intermediate,intermediate,80.66,96.75,porites astreoides,grow,m
