"period","yearmonth","location","site","plot","cluster","clustersize"
"after 6mo",202210,"Maguey","45","86",0,0
"after 6mo",202210,"Maguey","45","87",0,0
"after 6mo",202210,"Maguey","45","88",0,0
"after 6mo",202210,"Maguey","48","49",0,0
"after 6mo",202210,"Maguey","48","50",0,0
"after 6mo",202210,"Maguey","48","51",0,0
"after 6mo",202210,"Maguey","48","52",0,0
"after 6mo",202210,"Maguey","73","77",1,1
"after 6mo",202210,"Maguey","73","78",1,1
"after 6mo",202210,"Maguey","73","79",0,0
"after 6mo",202210,"Maguey","74","93",0,0
"after 6mo",202210,"Maguey","74","94",0,0
"after 6mo",202210,"Maguey","74","95",0,0
"after 6mo",202210,"Maguey","74","96",0,0
"after 6mo",202210,"Tampico","01","14",0,0
"after 6mo",202210,"Tampico","01","15",0,0
"after 6mo",202210,"Tampico","01","16",0,0
"after 6mo",202210,"Tampico","04","05",0,0
"after 6mo",202210,"Tampico","04","06",0,0
"after 6mo",202210,"Tampico","04","07",0,0
"after 6mo",202210,"Tampico","04","08",0,0
"after 6mo",202210,"Tampico","20","09",0,0
"after 6mo",202210,"Tampico","20","10",0,0
"after 6mo",202210,"Tampico","20","11",0,0
"after 6mo",202210,"Tampico","20","12",0,0
"after 6mo",202210,"Tampico","22","33",0,0
"after 6mo",202210,"Tampico","22","34",0,0
"after 6mo",202210,"Tampico","22","35",0,0
"after 6mo",202210,"Tampico","22","36",0,0
"after 6mo",202210,"Tampico","23","45",0,0
"after 6mo",202210,"Tampico","23","46",0,0
"after 6mo",202210,"Tampico","23","47",0,0
"after 6mo",202210,"Tampico","24","29",0,0
"after 6mo",202210,"Tampico","24","30",0,0
"after 6mo",202210,"Tampico","24","31",0,0
"after 6mo",202210,"Tampico","24","32",0,0
"after 6mo",202210,"Tampico","26","41",0,0
"after 6mo",202210,"Tampico","26","42",0,0
"after 6mo",202210,"Tampico","26","43",0,0
"after 6mo",202210,"Tampico","26","44",0,0
"after 6mo",202210,"Tampico","35","01",0,0
"after 6mo",202210,"Tampico","35","02",0,0
"after 6mo",202210,"Tampico","35","03",0,0
"after 6mo",202210,"Tampico","35","04",0,0
"after 6mo",202210,"Tampico","37","17",1,0
"after 6mo",202210,"Tampico","37","18",0,0
"after 6mo",202210,"Tampico","37","19",0,0
"after 6mo",202210,"Tampico","37","20",0,0
"after 6mo",202210,"Tampico","39","37",0,0
"after 6mo",202210,"Tampico","39","38",0,0
"after 6mo",202210,"Tampico","39","39",0,0
"after 6mo",202210,"Tampico","39","40",0,0
"after 6mo",202210,"Tampico","43","21",0,0
"after 6mo",202210,"Tampico","43","22",0,0
"after 6mo",202210,"Tampico","43","23",0,0
"after 6mo",202210,"Tampico","43","24",0,0
"after 6mo",202210,"Tampico","45","25",0,0
"after 6mo",202210,"Tampico","45","26",0,0
"after 6mo",202210,"Tampico","45","27",0,0
"after 6mo",202210,"Tampico","45","28",0,0
