"period","location","site","plot","counts","mean_size","sd_size"
"baseline","Tampico","43","24",0,0,NA
"dieoff","Tampico","43","24",0,0,NA
"after 12mo","Tampico","45","25",0,0,NA
"after 6mo","Tampico","45","25",0,0,NA
"baseline","Tampico","45","25",0,0,NA
"dieoff","Tampico","45","25",0,0,NA
"after 12mo","Tampico","45","26",1,1,NA
"after 6mo","Tampico","45","26",0,0,NA
"baseline","Tampico","45","26",0,0,NA
"dieoff","Tampico","45","26",0,0,NA
"after 12mo","Tampico","45","27",0,0,NA
"after 6mo","Tampico","45","27",0,0,NA
"baseline","Tampico","45","27",0,0,NA
"dieoff","Tampico","45","27",0,0,NA
"after 12mo","Tampico","45","28",0,0,NA
"after 6mo","Tampico","45","28",0,0,NA
"baseline","Tampico","45","28",0,0,NA
"dieoff","Tampico","45","28",0,0,NA
"baseline","Tampico","77","41",0,0,NA
"baseline","Tampico","77","42",0,0,NA
"baseline","Tampico","77","43",0,0,NA
"baseline","Tampico","77","44",0,0,NA
